param,pearson,spearman,mae_abs,mre,true_min,true_max,rec_min,rec_max
Gamma_D2,0.931308527557058,0.9234521575984992,4.244822898334904e+20,0.1752120826128336,1.0190000031813117e+21,4.971354180718311e+21,7.049058765820763e+20,6.623607227460281e+21
Ptot_W,0.9177032382986505,0.9249530956848031,858031.325,0.135208115360906,2345031.0,15766000.0,1804459.0,16096978.0
n_core,0.4916137516608426,0.49223697225688645,1.6323878436079875e+20,0.4359058445849012,1.3589999783292751e+20,7.471207899016987e+20,4.578311442477875e+19,1.0038406053606059e+21
dna,0.8821632393054002,0.8846568798136915,0.19134424850344658,0.24072300833585114,0.14582474529743195,1.959271788597107,-0.0655699372291565,1.8394677639007568
hci,0.9301251974798308,0.9473239843434417,0.1468540236353874,0.12812975286484912,0.1860000044107437,1.972430944442749,0.08710139989852905,2.1149842739105225
