param,pearson,spearman,mae_abs,mre,true_min,true_max,rec_min,rec_max
Gamma_D2,0.8975638530390414,0.9142857142857143,4.362521483924604e+20,0.1389345538348959,1.1889999819592004e+21,4.856483116822785e+21,1.0726769997650571e+21,5.637824438124314e+21
Ptot_W,0.9365684192302521,0.7999999999999999,957554.0125,0.11236799151608975,2020510.75,15106198.0,960090.0,14893464.0
n_core,-0.08992755550937448,-0.10225563909774435,2.4443597919423398e+20,0.8128488332186521,1.4322593825568273e+20,7.471207899016987e+20,3660669184.0,1.0271683366367107e+21
dna,0.8884403163290181,0.8541353383458646,0.18856475539505482,0.26540516732160585,0.12392675131559372,1.959271788597107,-0.0006570219993591309,1.803617238998413
hci,0.9362000558864036,0.9248120300751879,0.13130689933896064,0.13255334255835066,0.15343378484249115,1.9474774599075317,0.10563147068023682,2.093258857727051
